Model,criterion,learning_rate,max_depth,min_samples_leaf,min_samples_split,n_estimators,subsample
bal_gb,squared_error,0.18851179969799559,5,7,34,684,0.6139675812709708
imbal_gb,friedman_mse,0.07553947137506735,3,19,94,769,0.9071549368149517
