,accuracy,precision,recall,f1,mcc,auc,thresold
dt,0.87,0.97,0.77,0.86,0.77,0.87,0.5
rf,0.9,0.99,0.8,0.88,0.81,0.99,0.5
gb,0.9,0.99,0.82,0.89,0.82,0.99,0.5
