,precision,recall,f1-score,support
Legitimate,0.85,0.99,0.91,1143.0
Phishing,0.99,0.82,0.89,1143.0
accuracy,0.9,0.9,0.9,0.9
macro avg,0.92,0.9,0.9,2286.0
weighted avg,0.92,0.9,0.9,2286.0
