,precision,recall,f1-score,support
Legitimate,0.83,0.99,0.9,1143.0
Phishing,0.99,0.8,0.88,1143.0
accuracy,0.9,0.9,0.9,0.9
macro avg,0.91,0.9,0.89,2286.0
weighted avg,0.91,0.9,0.89,2286.0
